,Agricultural and Natural Lands,Arterials & Suburban Corridors,Developing Communities,Established Communities,Rural & Small Town Main Street,Rural Residential,Small-Town Established Communities,Urban core,REGION,year
transit_emp,841.1575317382812,52225.83203125,1945.5201416015625,21089.064453125,3906.810302734375,480.4164123535156,2215.4580078125,159770.109375,21823.0234375,2020
bike_emp,671.4151611328125,16888.62890625,1767.88134765625,9056.52734375,2143.138671875,802.3961181640625,1750.8046875,83849.53125,9577.3798828125,2020
walk_emp,142.22584533691406,4828.05615234375,417.6811828613281,2480.224365234375,1278.0325927734375,161.34487915039062,855.4801635742188,33513.5625,2902.07958984375,2020
drive_emp,46375.37890625,214495.609375,105986.203125,171678.875,60186.49609375,67682.8828125,60995.98828125,320090.0,159471.015625,2020
transit_nonwork,1.644736647605896,95.7042236328125,3.6920015811920166,45.699161529541016,16.375036239624023,1.5166268348693848,9.588374137878418,247.0358123779297,43.0254020690918,2020
bike_nonwork,0.4022028148174286,12.664169311523438,1.6364151239395142,8.37763500213623,5.139538764953613,0.6682593822479248,3.662734270095825,52.3010368347168,7.577619552612305,2020
walk_nonwork,0.05152716115117073,3.8284904956817627,0.34093889594078064,2.406193733215332,2.5343427658081055,0.18711237609386444,1.354137659072876,13.834335327148438,2.1654722690582275,2020
transit_edu,0.7953373193740845,35.649009704589844,1.7959119081497192,17.555015563964844,5.723705291748047,0.8624665141105652,4.141604900360107,79.02803802490234,16.198854446411133,2020
bike_edu,0.9418500661849976,14.818376541137695,2.745692729949951,10.064859390258789,3.750364065170288,1.3874551057815552,3.435727834701538,30.765962600708008,8.971827507019043,2020
walk_edu,0.2113925665616989,4.59243106842041,0.8364025354385376,3.0781919956207275,2.0940825939178467,0.38399815559387207,1.736024022102356,7.883447170257568,2.6763694286346436,2020
TOT_COLLISNS_fwy,554.0,644.0,74.0,709.0,66.0,273.0,137.0,1098.0,11552.0,2020
TOT_COLLISNS_PER_100MVMT_fwy,12.024523168468713,23.622798575065108,8.781345714397599,14.229593366711763,41.421793699892184,11.091658445072165,19.143200411428946,64.09527106116757,26.861561314158433,2020
FATAL_COLLISNS_fwy,23.0,16.0,5.0,21.0,2.0,12.0,5.0,14.0,316.0,2020
FATAL_COLLISNS_PER_100MVMT_fwy,0.49921305573065056,0.5869018279519282,0.5933341698917296,0.4214689149519704,1.2552058696937027,0.4875454261570182,0.6986569493222243,0.8172438933117904,0.7347864763914529,2020
PCT_FATAL_COLLISNS_fwy,0.04151624548736462,0.024844720496894408,0.06756756756756756,0.029619181946403384,0.030303030303030307,0.04395604395604395,0.03649635036496351,0.012750455373406192,0.027354570637119113,2020
BIKEPED_COLLISNS_fwy,9.0,20.0,1.0,27.0,17.0,4.0,7.0,15.0,269.0,2020
BIKEPED_COLLISNS_PER_CLMILE_fwy,0.006357699215253641,0.060770310396283354,0.008631837218566049,0.018452129727330135,0.650242491727193,0.006414248795709305,0.08100412663958008,0.3708390624335242,0.05759571742476234,2020
PCT_BIKEPED_COLLISNS_fwy,0.016245487364620937,0.031055900621118012,0.013513513513513514,0.0380818053596615,0.25757575757575757,0.014652014652014652,0.051094890510948905,0.01366120218579235,0.02328601108033241,2020
TOT_COLLISNS_nonfwy,3382.0,9011.0,648.0,18539.0,416.0,2310.0,752.0,2251.0,45592.0,2020
TOT_COLLISNS_PER_100MVMT_nonfwy,47.960261007189594,140.38298646301433,54.312835294266506,96.56567644286635,103.5934020669104,66.18830102559619,94.6717790991546,164.22097345724714,95.41811392485357,2020
FATAL_COLLISNS_nonfwy,229.0,174.0,22.0,349.0,7.0,81.0,21.0,13.0,1112.0,2020
FATAL_COLLISNS_PER_100MVMT_nonfwy,3.247457058145008,2.7107579230456658,1.8439542846818877,1.8178661782491154,1.7431582078566652,2.320888477520905,2.6437597886732003,0.9484107751862341,2.327271071337892,2020
